Código Faculdade;Código Curso;Provas de ingresso;Nota candidatura;Pontos provas de ingresso;Média do secundário;Provas de ingresso
0400;9074;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 03 Desenho 18 Português ou 10 Geometria Descritiva 16 Matemática ou 03 Desenho 12 Hist. da Cultura e Artes ou 03 Desenho 06 Filosofia ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
0400;9075;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes ou 12 Hist. da Cultura e Artes 18 Português ou 06 Filosofia 18 Português ou 03 Desenho 18 Português;100 pontos;100 pontos;50%;50%
0400;9081;Um dos seguintes conjuntos: 19 Matemática A (25%) 18 Português (25%) ou 04 Economia (30%) 19 Matemática A (20%) ou 09 Geografia (25%) 19 Matemática A (25%);100 pontos;100 pontos;50%;50%
0400;9089;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;9104;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;9105;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;9112;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
0400;9119;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 03 Desenho 04 Economia 07 Física e Química 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0400;9139;Um dos seguintes conjuntos: 18 Português (20%) 06 Filosofia (30%) ou 18 Português (30%) 09 Geografia (20%) ou 18 Português (30%) 12 Hist. da Cultura e Artes (20%) ou 18 Português (30%) 11 História (20%) ou 18 Português (30%) 14 Latim (20%) ou 18 Português (30%) 17 Mat. Apl. Ciências Soc. (20%);100 pontos;100 pontos;50%;50%
0400;9147;Um dos seguintes conjuntos: 04 Economia (30%) 18 Português (20%) ou 16 Matemática (30%) 18 Português (20%) ou 04 Economia (25%) 16 Matemática (25%) ou 09 Geografia (20%) 16 Matemática (30%) ou 04 Economia (30%) 09 Geografia (20%);100 pontos;100 pontos;50%;50%
0400;9205;Um dos seguintes conjuntos: 04 Economia (30%) 17 Mat. Apl. Ciências Soc. (20%) ou 04 Economia (30%) 18 Português (20%) ou 17 Mat. Apl. Ciências Soc. (25%) 18 Português (25%);100 pontos;100 pontos;50%;50%
0400;9205;Um dos seguintes conjuntos: 04 Economia (30%) 17 Mat. Apl. Ciências Soc. (20%) ou 04 Economia (30%) 18 Português (20%) ou 17 Mat. Apl. Ciências Soc. (25%) 18 Português (25%);100 pontos;100 pontos;50%;50%
0400;9219;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 06 Filosofia 18 Português ou 02 Biologia e Geologia 17 Mat. Apl. Ciências Soc.;100 pontos;100 pontos;50%;50%
0400;9225;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0400;9240;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 18 Português ou 11 História 13 Inglês ou 09 Geografia 13 Inglês;100 pontos;100 pontos;50%;50%
0400;9240;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 18 Português ou 11 História 13 Inglês ou 09 Geografia 13 Inglês;100 pontos;100 pontos;50%;50%
0400;9257;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
0400;9257;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
0400;9351;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;100 pontos;100 pontos;50%;50%
0400;9494;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;9707;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 06 Filosofia 18 Português;100 pontos;100 pontos;50%;50%
0400;9740;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;9813;02 Biologia e Geologia 07 Física e Química 19 Matemática A;140 pontos;140 pontos;50%;50%
0400;9835;19 Matemática A (30%) e Uma das seguintes provas: (20%) 02 Biologia e Geologia 04 Economia 07 Física e Química 09 Geografia 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0400;9918;Um dos seguintes conjuntos: 05 Espanhol 18 Português ou 11 História 18 Português ou 05 Espanhol 11 História ou 15 Literatura Portuguesa 18 Português ou 12 Hist. da Cultura e Artes 18 Português;100 pontos;100 pontos;50%;50%
0400;L205;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;L227;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 06 Filosofia 07 Física e Química 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0400;L258;18 Português e Uma das seguintes provas: 02 Biologia e Geologia 03 Desenho 07 Física e Química 10 Geometria Descritiva 12 Hist. da Cultura e Artes 16 Matemática;100 pontos;100 pontos;50%;50%
0400;L295;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0400;L303;16 Matemática e Uma das seguintes provas: 02 Biologia e Geologia 06 Filosofia 07 Física e Química 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0400;L331;18 Português e Uma das seguintes provas: 02 Biologia e Geologia 03 Desenho 04 Economia 07 Física e Química 10 Geometria Descritiva 16 Matemática;100 pontos;100 pontos;50%;50%
0501;8408;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9011;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;100 pontos;100 pontos;50%;50%
0501;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;100 pontos;100 pontos;50%;50%
0501;9089;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9099;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9104;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9113;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9119;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
0501;9123;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9125;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9141;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9146;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 09 Geografia 16 Matemática;100 pontos;100 pontos;50%;50%
0501;9209;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português;100 pontos;100 pontos;40%;40%
0501;9223;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9257;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 16 Matemática ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
0501;9257;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 16 Matemática ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
0501;9448;Duas das seguintes provas: 02 Biologia e Geologia 09 Geografia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0501;9455;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;9891;Um dos seguintes conjuntos: 03 Desenho 18 Português ou 10 Geometria Descritiva 18 Português ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0501;L192;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 04 Economia 19 Matemática A ou 07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;L209;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A;100 pontos;100 pontos;50%;50%
0501;L285;16 Matemática e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 10 Geometria Descritiva;100 pontos;100 pontos;50%;50%
0502;9002;Duas das seguintes provas: 13 Inglês 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0502;9078;Duas das seguintes provas: 06 Filosofia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0502;9078;Duas das seguintes provas: 06 Filosofia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0503;9081;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 19 Matemática A 18 Português;95 pontos;95 pontos;50%;50%
0503;9147;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 19 Matemática A 18 Português;95 pontos;95 pontos;50%;50%
0503;9229;18 Português e Uma das seguintes provas: 04 Economia 06 Filosofia 11 História 19 Matemática A;95 pontos;95 pontos;50%;50%
0503;9229;18 Português e Uma das seguintes provas: 04 Economia 06 Filosofia 11 História 19 Matemática A;95 pontos;95 pontos;50%;50%
0503;9240;18 Português (30%) e Uma das seguintes provas: (20%) 04 Economia 06 Filosofia 09 Geografia 11 História 19 Matemática A;95 pontos;95 pontos;50%;50%
